film,Oscar_Winner,num_nominations,Title,IMDb Rating,Runtime (mins),Year,Num Votes,IMDb Popularity,Num Directors,Comedy,Romance,Drama,War,Adventure,award_Acting,award_Animation,award_Cinematography,award_Costume Design,award_Directing,award_Documentary,award_Editing,award_International Feature,award_Makeup and Hairstyling,award_Music,award_Other,award_Picture,award_Production Design,award_Short Film,award_Sound,award_Visual Effects,award_Writing
A Cry in the Dark,0,1,A Cry in the Dark,6.9,120.0,1988,11641,80322.90000000001,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Damsel in Distress,1,2,A Damsel in Distress,6.8,101.0,1937,2494,16959.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
A Day at the Races,0,1,A Day at the Races,7.5,111.0,1937,14965,112237.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Day in the Life of Bonnie Consolo,0,1,A Day in the Life of Bonnie Consolo,6.7,17.0,1975,56,375.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Different Approach,0,1,A Different Approach,7.4,21.0,1978,89,658.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Different Man,0,1,A Different Man,6.9,112.0,2024,28291,195207.90000000002,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Double Life,1,4,A Double Life,6.9,104.0,1947,4169,28766.100000000002,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
A Dry White Season,0,1,A Dry White Season,7.0,106.0,1989,6522,45654.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Fantastic Woman,1,1,A Fantastic Woman,7.2,104.0,2017,27975,201420.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Farewell to Arms,1,10,A Farewell to Arms,6.4,80.0,1932,7183,45971.200000000004,1,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0
A Few Good Men,0,4,A Few Good Men,7.7,138.0,1992,300965,2317430.5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
A Few Notes on Our Food Problem,0,1,A Few Notes on Our Food Problem,6.1,36.0,1968,47,286.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Fish Called Wanda,1,3,A Fish Called Wanda,7.5,108.0,1988,159519,1196392.5,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
A Foreign Affair,0,2,A Foreign Affair,7.3,116.0,1948,8970,65481.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Free Soul,1,3,A Free Soul,6.6,93.0,1931,3062,20209.2,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Funny Thing Happened on the Way to the Forum,1,1,A Funny Thing Happened on the Way to the Forum,6.8,99.0,1966,10196,69332.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Gathering of Eagles,0,1,A Gathering of Eagles,6.1,115.0,1963,1173,7155.299999999999,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Girl in the River: The Price of Forgiveness,1,1,A Girl in the River: The Price of Forgiveness,7.8,40.0,2015,1970,15366.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Great Day in Harlem,0,1,A Great Day in Harlem,7.4,60.0,1994,511,3781.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Greek Tragedy,1,1,A Greek Tragedy,5.3,7.0,1985,827,4383.099999999999,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Gun in His Hand,0,1,A Gun in His Hand,6.4,19.0,1945,336,2150.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Guy Named Joe,0,1,A Guy Named Joe,6.9,120.0,1943,3060,21114.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Handful of Dust,0,1,A Handful of Dust,6.6,118.0,1988,2498,16486.8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Hard Day's Night,0,2,A Hard Day's Night,7.5,87.0,1964,49571,371782.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
A Hatful of Rain,0,1,A Hatful of Rain,7.1,109.0,1957,1641,11651.099999999999,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A History of Violence,0,2,A History of Violence,7.4,96.0,2005,263548,1950255.2000000002,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A Hole in the Head,1,1,A Hole in the Head,6.2,120.0,1959,2980,18476.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A House Is Not a Home,0,1,A House Is Not a Home,5.8,98.0,1964,275,1595.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A House Made of Splinters,0,1,A House Made of Splinters,7.2,87.0,2022,2192,15782.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Jury of Her Peers,0,1,A Jury of Her Peers,7.1,30.0,1980,72,511.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A King's Story,0,1,A King's Story,7.3,102.0,1965,59,430.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Letter to Three Wives,1,3,A Letter to Three Wives,7.7,103.0,1949,11258,86686.6,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
A Lien,0,1,A Lien,7.2,15.0,2023,1286,9259.2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Little Night Music,1,2,A Little Night Music,5.4,124.0,1977,951,5135.400000000001,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
A Little Princess,0,2,A Little Princess,7.6,97.0,1995,37866,287781.6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
